"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-13","62","41","60"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-14","62","41","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-15",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-16","63","41","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-17","60","56","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-18","64","54","60"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-19","62","58","61"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-20","63","58","60"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-21","62","57","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-22","62","55","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-23","61","56","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-24","60","56","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-25","61","55","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-26","61","40","46"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-27","61","40","45"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-28",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-29",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-30",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-08-31",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-01","64","46","62"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-02","66","40","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-03","66","40","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-04",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-05","62","42","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-06","66","40","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-07",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-08","62","43","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-09","62","43","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-10","62","43","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-11","62","42","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-12","62","44","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-13","61","40","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-14","62","42","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-15",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-16","62","39","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-17","62","39","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-09-18","62","38","61"
